forecast_period_date,region_code,region_name,model_name,scenario,predicted_value,lower_80,upper_80,lower_95,upper_95,training_end_date
2026-11-30,Y60,NHS England North East and Yorkshire,ARIMA,base,769099.85,682292.71,855906.98,636339.79,901859.90,2025-12-01
2026-11-30,Y60,NHS England North East and Yorkshire,ARIMA,demand_minus10,769099.85,682292.71,855906.98,636339.79,901859.90,2025-12-01
2026-11-30,Y61,NHS England Midlands,ARIMA,demand_plus10,1772583.31,1385613.42,2159553.20,1180763.94,2364402.69,2025-12-01
2026-11-30,Y61,NHS England Midlands,ARIMA,base,1772583.31,1385613.42,2159553.20,1180763.94,2364402.69,2025-12-01
2026-11-30,Y61,NHS England Midlands,ARIMA,demand_minus10,1772583.31,1385613.42,2159553.20,1180763.94,2364402.69,2025-12-01
2026-11-30,Y62,NHS England East of England,ARIMA,base,900008.63,818981.14,981036.12,776087.78,1023929.48,2025-12-01
2026-11-30,Y62,NHS England East of England,ARIMA,demand_minus10,900008.63,818981.14,981036.12,776087.78,1023929.48,2025-12-01
2026-11-30,Y62,NHS England East of England,ARIMA,demand_plus10,900008.63,818981.14,981036.12,776087.78,1023929.48,2025-12-01
2026-11-30,Y63,NHS England North West,ARIMA,demand_plus10,863309.87,656066.07,1070553.68,546357.82,1180261.93,2025-12-01
2026-11-30,Y63,NHS England North West,ARIMA,demand_minus10,863309.87,656066.07,1070553.68,546357.82,1180261.93,2025-12-01
2026-11-30,Y63,NHS England North West,ARIMA,base,863309.87,656066.07,1070553.68,546357.82,1180261.93,2025-12-01
2026-12-31,Q71,NHS England London,ARIMA,base,794608.73,609218.77,979998.70,511079.25,1078138.21,2025-12-01
2026-12-31,Q71,NHS England London,ARIMA,demand_plus10,794608.73,609218.77,979998.70,511079.25,1078138.21,2025-12-01
2026-12-31,Q71,NHS England London,ARIMA,demand_minus10,794608.73,609218.77,979998.70,511079.25,1078138.21,2025-12-01
2026-12-31,Y58,NHS England South East,ARIMA,demand_minus10,986493.67,863730.46,1109256.88,798743.54,1174243.80,2025-12-01
2026-12-31,Y58,NHS England South East,ARIMA,demand_plus10,986493.67,863730.46,1109256.88,798743.54,1174243.80,2025-12-01
2026-12-31,Y58,NHS England South East,ARIMA,base,986493.67,863730.46,1109256.88,798743.54,1174243.80,2025-12-01
2026-12-31,Y59,NHS England South West,ARIMA,demand_plus10,1020436.44,816669.02,1224203.86,708801.06,1332071.82,2025-12-01
2026-12-31,Y59,NHS England South West,ARIMA,demand_minus10,1020436.44,816669.02,1224203.86,708801.06,1332071.82,2025-12-01
2026-12-31,Y59,NHS England South West,ARIMA,base,1020436.44,816669.02,1224203.86,708801.06,1332071.82,2025-12-01
2026-12-31,Y60,NHS England North East and Yorkshire,ARIMA,demand_plus10,765017.19,676140.14,853894.24,629091.47,900942.90,2025-12-01
2026-12-31,Y60,NHS England North East and Yorkshire,ARIMA,base,765017.19,676140.14,853894.24,629091.47,900942.90,2025-12-01
2026-12-31,Y60,NHS England North East and Yorkshire,ARIMA,demand_minus10,765017.19,676140.14,853894.24,629091.47,900942.90,2025-12-01
2026-12-31,Y61,NHS England Midlands,ARIMA,base,1766677.69,1358034.78,2175320.60,1141712.29,2391643.09,2025-12-01
2026-12-31,Y61,NHS England Midlands,ARIMA,demand_minus10,1766677.69,1358034.78,2175320.60,1141712.29,2391643.09,2025-12-01
2026-12-31,Y61,NHS England Midlands,ARIMA,demand_plus10,1766677.69,1358034.78,2175320.60,1141712.29,2391643.09,2025-12-01
2026-12-31,Y62,NHS England East of England,ARIMA,base,894407.42,808612.76,980202.08,763195.81,1025619.03,2025-12-01
2026-12-31,Y62,NHS England East of England,ARIMA,demand_minus10,894407.42,808612.76,980202.08,763195.81,1025619.03,2025-12-01
2026-12-31,Y62,NHS England East of England,ARIMA,demand_plus10,894407.42,808612.76,980202.08,763195.81,1025619.03,2025-12-01
2026-12-31,Y63,NHS England North West,ARIMA,demand_minus10,862655.43,646369.34,1078941.52,531874.40,1193436.46,2025-12-01
2026-12-31,Y63,NHS England North West,ARIMA,demand_plus10,862655.43,646369.34,1078941.52,531874.40,1193436.46,2025-12-01
2026-12-31,Y63,NHS England North West,ARIMA,base,862655.43,646369.34,1078941.52,531874.40,1193436.46,2025-12-01
