period_date,year,month,month_name,year_month,quarter,is_pre_covid,is_covid_period,is_post_covid,covid_dummy,region_code,region_name,region_short,treatment_code,treatment_name,specialty_group,part_type,part_description,waiting_list_size,patients_within_18wks,patients_over_18wks,pct_within_18wks,waiting_over_52wks,total_patients,provider_count,commissioner_count
2020-09-01,2020,9,September,2020-09,3,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1186939,727508,459431,61.2928,34615,,111,147
2020-09-01,2020,9,September,2020-09,3,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,524641,312497,212144,59.5640,21032,,46,143
2020-09-01,2020,9,September,2020-09,3,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,513364,296080,217284,57.6745,19563,,50,151
2020-10-01,2020,10,October  ,2020-10,4,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,432240,272241,159999,62.9838,18682,,26,150
2020-10-01,2020,10,October  ,2020-10,4,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,602033,398311,203722,66.1610,21934,,60,151
2020-10-01,2020,10,October  ,2020-10,4,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,649941,433590,216351,66.7122,20997,,73,151
2020-10-01,2020,10,October  ,2020-10,4,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,496976,345412,151564,69.5028,14752,,49,147
2020-10-01,2020,10,October  ,2020-10,4,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1222498,805419,417079,65.8831,42124,,113,149
2020-10-01,2020,10,October  ,2020-10,4,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,538431,344241,194190,63.9341,24666,,46,146
2020-10-01,2020,10,October  ,2020-10,4,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,525312,322692,202620,61.4286,24387,,50,151
2020-11-01,2020,11,November ,2020-11,4,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,428042,288619,139423,67.4277,18917,,27,150
2020-11-01,2020,11,November ,2020-11,4,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,604960,420187,184773,69.4570,24728,,62,150
2020-11-01,2020,11,November ,2020-11,4,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,649432,450453,198979,69.3611,24272,,73,151
2020-11-01,2020,11,November ,2020-11,4,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,499168,356858,142310,71.4906,18365,,50,146
2020-11-01,2020,11,November ,2020-11,4,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1231847,845649,386198,68.6489,49195,,112,150
2020-11-01,2020,11,November ,2020-11,4,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,534844,353521,181323,66.0980,27437,,45,143
2020-11-01,2020,11,November ,2020-11,4,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,531218,336929,194289,63.4257,29798,,50,153
2020-12-01,2020,12,December ,2020-12,4,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,434911,296556,138355,68.1877,20887,,27,150
2020-12-01,2020,12,December ,2020-12,4,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,602377,423918,178459,70.3742,26864,,63,150
2020-12-01,2020,12,December ,2020-12,4,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,650231,451133,199098,69.3804,28588,,75,150
2020-12-01,2020,12,December ,2020-12,4,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,504854,357574,147280,70.8272,22327,,50,146
2020-12-01,2020,12,December ,2020-12,4,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1264648,855157,409491,67.6202,60440,,112,150
2020-12-01,2020,12,December ,2020-12,4,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,545942,357018,188924,65.3949,31070,,46,143
2020-12-01,2020,12,December ,2020-12,4,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,536233,337295,198938,62.9008,34627,,50,150
2021-01-01,2021,1,January  ,2021-01,1,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,438876,291215,147661,66.3547,28871,,28,149
2021-01-01,2021,1,January  ,2021-01,1,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,605713,413633,192080,68.2886,37504,,64,150
2021-01-01,2021,1,January  ,2021-01,1,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,655368,445845,209523,68.0297,38653,,76,151
2021-01-01,2021,1,January  ,2021-01,1,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,512952,355519,157433,69.3084,31302,,50,147
2021-01-01,2021,1,January  ,2021-01,1,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1295001,852460,442541,65.8270,83345,,113,151
2021-01-01,2021,1,January  ,2021-01,1,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,553886,348630,205256,62.9426,39743,,46,144
2021-01-01,2021,1,January  ,2021-01,1,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,549325,342336,206989,62.3194,45498,,50,153
2021-02-01,2021,2,February ,2021-02,1,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,453005,293275,159730,64.7399,37567,,28,150
2021-02-01,2021,2,February ,2021-02,1,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,627092,415374,211718,66.2381,46724,,63,150
2021-02-01,2021,2,February ,2021-02,1,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,666187,445096,221091,66.8125,49623,,76,151
2021-02-01,2021,2,February ,2021-02,1,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,518155,351640,166515,67.8639,39630,,50,145
2021-02-01,2021,2,February ,2021-02,1,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1336307,852003,484304,63.7580,108459,,111,151
2021-02-01,2021,2,February ,2021-02,1,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,564614,345578,219036,61.2061,50592,,46,144
2021-02-01,2021,2,February ,2021-02,1,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,550768,338191,212577,61.4035,56393,,50,153
2021-03-01,2021,3,March    ,2021-03,1,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,551304,346201,205103,62.7968,54473,,29,149
2021-03-01,2021,3,March    ,2021-03,1,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,652315,433664,218651,66.4808,47958,,64,150
2021-03-01,2021,3,March    ,2021-03,1,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,689931,463699,226232,67.2095,54577,,76,152
2021-03-01,2021,3,March    ,2021-03,1,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,538563,370372,168191,68.7704,41659,,50,145
2021-03-01,2021,3,March    ,2021-03,1,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1396408,881833,514575,63.1501,123695,,112,150
2021-03-01,2021,3,March    ,2021-03,1,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,580793,352806,227987,60.7456,55496,,47,144
2021-03-01,2021,3,March    ,2021-03,1,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,563011,352801,210210,62.6633,59466,,50,153
2021-04-01,2021,4,April    ,2021-04,2,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,569381,354833,166867,62.3191,,,29,119
2021-04-01,2021,4,April    ,2021-04,2,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,670757,446752,183389,66.6042,,,64,121
2021-04-01,2021,4,April    ,2021-04,2,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,708500,478667,183462,67.5606,,,76,127
2021-04-01,2021,4,April    ,2021-04,2,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,561677,391727,132626,69.7424,,,50,123
2021-04-01,2021,4,April    ,2021-04,2,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1440972,908135,421625,63.0224,,,115,124
2021-04-01,2021,4,April    ,2021-04,2,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,604619,369154,185174,61.0556,,,47,115
2021-04-01,2021,4,April    ,2021-04,2,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,587580,374060,159715,63.6611,,,50,126
2021-05-01,2021,5,May      ,2021-05,2,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,583761,385989,157390,66.1211,,,29,119
2021-05-01,2021,5,May      ,2021-05,2,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,686667,476393,176607,69.3776,,,63,120
2021-05-01,2021,5,May      ,2021-05,2,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,729919,515148,175722,70.5761,,,75,125
2021-05-01,2021,5,May      ,2021-05,2,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,591164,427642,131215,72.3390,,,50,124
2021-05-01,2021,5,May      ,2021-05,2,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1503981,985267,418846,65.5106,,,114,124
2021-05-01,2021,5,May      ,2021-05,2,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,623300,400222,178581,64.2102,,,47,119
2021-05-01,2021,5,May      ,2021-05,2,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,606630,398093,159809,65.6237,,,49,126
2021-06-01,2021,6,June     ,2021-06,2,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,593544,405797,154085,68.3685,,,30,119
2021-06-01,2021,6,June     ,2021-06,2,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,712016,507320,175334,71.2512,,,63,121
2021-06-01,2021,6,June     ,2021-06,2,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,756225,543287,177879,71.8420,,,74,125
2021-06-01,2021,6,June     ,2021-06,2,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,609200,446687,133751,73.3235,,,50,126
2021-06-01,2021,6,June     ,2021-06,2,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1535518,1025844,416495,66.8077,,,113,124
2021-06-01,2021,6,June     ,2021-06,2,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,645290,423244,180616,65.5897,,,50,117
2021-06-01,2021,6,June     ,2021-06,2,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,622398,410366,167073,65.9331,,,50,123
2021-07-01,2021,7,July     ,2021-07,3,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,603115,413855,160011,68.6196,,,30,118
2021-07-01,2021,7,July     ,2021-07,3,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,724951,512610,184701,70.7096,,,63,121
2021-07-01,2021,7,July     ,2021-07,3,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,780378,556902,188947,71.3631,,,75,125
2021-07-01,2021,7,July     ,2021-07,3,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,628695,457057,143766,72.6993,,,50,127
2021-07-01,2021,7,July     ,2021-07,3,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1581864,1046430,444213,66.1517,,,115,123
2021-07-01,2021,7,July     ,2021-07,3,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,666905,436865,189619,65.5063,,,49,119
2021-07-01,2021,7,July     ,2021-07,3,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,642698,417712,181313,64.9935,,,49,125
2021-08-01,2021,8,August   ,2021-08,3,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,614020,422037,164587,68.7334,,,30,119
2021-08-01,2021,8,August   ,2021-08,3,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,745423,524431,193679,70.3535,,,62,121
2021-08-01,2021,8,August   ,2021-08,3,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,773866,551345,190459,71.2455,,,74,126
2021-08-01,2021,8,August   ,2021-08,3,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,640071,458069,154176,71.5653,,,50,126
2021-08-01,2021,8,August   ,2021-08,3,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1622015,1060772,467450,65.3984,,,115,125
2021-08-01,2021,8,August   ,2021-08,3,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,684173,440297,201582,64.3546,,,50,120
2021-08-01,2021,8,August   ,2021-08,3,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,655125,420030,192189,64.1145,,,50,124
2021-09-01,2021,9,September,2021-09,3,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,630103,428249,175219,67.9649,,,29,118
2021-09-01,2021,9,September,2021-09,3,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,758640,525943,205175,69.3271,,,62,121
2021-09-01,2021,9,September,2021-09,3,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,787992,549869,204275,69.7810,,,74,125
2021-09-01,2021,9,September,2021-09,3,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,652482,460638,163897,70.5978,,,51,126
2021-09-01,2021,9,September,2021-09,3,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1656276,1066672,490475,64.4018,,,117,124
2021-09-01,2021,9,September,2021-09,3,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,701484,440001,217168,62.7243,,,50,119
2021-09-01,2021,9,September,2021-09,3,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,667458,420032,204056,62.9301,,,50,125
2021-10-01,2021,10,October  ,2021-10,4,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,638345,429695,182707,67.3139,,,29,119
2021-10-01,2021,10,October  ,2021-10,4,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,770242,526908,215555,68.4081,,,62,122
2021-10-01,2021,10,October  ,2021-10,4,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,843942,574087,230741,68.0245,,,76,125
2021-10-01,2021,10,October  ,2021-10,4,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,664608,466914,169716,70.2540,,,51,127
2021-10-01,2021,10,October  ,2021-10,4,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1680932,1067557,509559,63.5098,,,116,125
2021-10-01,2021,10,October  ,2021-10,4,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,718111,445962,224991,62.1021,,,50,117
2021-10-01,2021,10,October  ,2021-10,4,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,681157,424099,214504,62.2616,,,49,121
2021-11-01,2021,11,November ,2021-11,4,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,638356,431826,182297,67.6466,,,28,119
2021-11-01,2021,11,November ,2021-11,4,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,777382,533871,216631,68.6755,,,61,122
2021-11-01,2021,11,November ,2021-11,4,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,843644,570165,234500,67.5836,,,76,126
2021-11-01,2021,11,November ,2021-11,4,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,667331,470975,170216,70.5759,,,53,121
2021-11-01,2021,11,November ,2021-11,4,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1687718,1069930,513291,63.3951,,,116,124
2021-11-01,2021,11,November ,2021-11,4,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,721986,442944,231634,61.3508,,,51,121
2021-11-01,2021,11,November ,2021-11,4,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,685284,426131,218579,62.1831,,,49,123
2021-12-01,2021,12,December ,2021-12,4,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,648973,427000,197861,65.7963,,,29,119
2021-12-01,2021,12,December ,2021-12,4,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,789350,526610,234554,66.7144,,,62,122
2021-12-01,2021,12,December ,2021-12,4,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,852164,560989,252269,65.8311,,,76,124
2021-12-01,2021,12,December ,2021-12,4,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,669850,463422,181096,69.1830,,,53,121
2021-12-01,2021,12,December ,2021-12,4,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1711711,1059395,545691,61.8910,,,116,124
2021-12-01,2021,12,December ,2021-12,4,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,729222,436699,244369,59.8856,,,51,120
2021-12-01,2021,12,December ,2021-12,4,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,690382,414660,234559,60.0624,,,49,123
2022-01-01,2022,1,January  ,2022-01,1,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,657035,431044,203327,65.6044,,,30,119
2022-01-01,2022,1,January  ,2022-01,1,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,784492,515898,241629,65.7620,,,63,122
2022-01-01,2022,1,January  ,2022-01,1,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,868217,558369,268178,64.3121,,,76,124
2022-01-01,2022,1,January  ,2022-01,1,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,677086,458257,192588,67.6808,,,53,122
2022-01-01,2022,1,January  ,2022-01,1,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1712229,1039528,566525,60.7120,,,116,124
2022-01-01,2022,1,January  ,2022-01,1,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,746637,433563,262622,58.0688,,,51,119
2022-01-01,2022,1,January  ,2022-01,1,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,707543,404201,257789,57.1274,,,50,123
2022-02-01,2022,2,February ,2022-02,1,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,669392,438258,210089,65.4711,,,30,120
2022-02-01,2022,2,February ,2022-02,1,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,796485,517341,252545,64.9530,,,63,121
2022-02-01,2022,2,February ,2022-02,1,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,885153,568153,276819,64.1870,,,76,124
2022-02-01,2022,2,February ,2022-02,1,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,685764,463170,196782,67.5407,,,53,120
2022-02-01,2022,2,February ,2022-02,1,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1721747,1045396,574070,60.7172,,,115,123
2022-02-01,2022,2,February ,2022-02,1,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,761328,438097,275815,57.5438,,,51,120
2022-02-01,2022,2,February ,2022-02,1,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,716639,405733,265601,56.6161,,,50,124
2022-03-01,2022,3,March    ,2022-03,1,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,677529,443827,213725,65.5067,,,30,121
2022-03-01,2022,3,March    ,2022-03,1,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,809556,522098,260637,64.4919,,,63,119
2022-03-01,2022,3,March    ,2022-03,1,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,906805,580800,285058,64.0491,,,76,126
2022-03-01,2022,3,March    ,2022-03,1,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,700311,474221,200250,67.7158,,,53,121
2022-03-01,2022,3,March    ,2022-03,1,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1764783,1075912,584080,60.9657,,,115,123
2022-03-01,2022,3,March    ,2022-03,1,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,782325,449505,285706,57.4576,,,51,120
2022-03-01,2022,3,March    ,2022-03,1,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,749940,423883,279226,56.5223,,,50,123
2022-04-01,2022,4,April    ,2022-04,2,f,f,t,0,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,692873,448782,222892,64.7712,,,30,123
2022-04-01,2022,4,April    ,2022-04,2,f,f,t,0,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,828715,527872,272843,63.6977,,,63,122
2022-04-01,2022,4,April    ,2022-04,2,f,f,t,0,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,936464,593618,299513,63.3893,,,76,126
2022-04-01,2022,4,April    ,2022-04,2,f,f,t,0,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,666259,451582,189318,67.7787,,,52,120
2022-04-01,2022,4,April    ,2022-04,2,f,f,t,0,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1814557,1098000,607832,60.5106,,,116,123
2022-04-01,2022,4,April    ,2022-04,2,f,f,t,0,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,807728,461732,295608,57.1643,,,50,121
2022-04-01,2022,4,April    ,2022-04,2,f,f,t,0,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,762738,430443,283709,56.4339,,,50,121
2022-05-01,2022,5,May      ,2022-05,2,f,f,t,0,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,700911,467018,212585,66.6301,,,30,124
2022-05-01,2022,5,May      ,2022-05,2,f,f,t,0,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,812310,533098,251609,65.6274,,,61,123
2022-05-01,2022,5,May      ,2022-05,2,f,f,t,0,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,966579,625878,294177,64.7519,,,76,125
2022-05-01,2022,5,May      ,2022-05,2,f,f,t,0,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,725248,503923,193943,69.4829,,,53,118
2022-05-01,2022,5,May      ,2022-05,2,f,f,t,0,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1864267,1164036,589037,62.4393,,,117,124
2022-05-01,2022,5,May      ,2022-05,2,f,f,t,0,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,833300,487703,293255,58.5267,,,50,122
2022-05-01,2022,5,May      ,2022-05,2,f,f,t,0,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,761317,448224,263976,58.8748,,,50,122
2022-06-01,2022,6,June     ,2022-06,2,f,f,t,0,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,704709,461933,220157,65.5495,,,30,124
2022-06-01,2022,6,June     ,2022-06,2,f,f,t,0,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,828459,530630,268000,64.0502,,,62,123
2022-06-01,2022,6,June     ,2022-06,2,f,f,t,0,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,983989,626729,305734,63.6927,,,77,126
2022-06-01,2022,6,June     ,2022-06,2,f,f,t,0,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,733823,500973,203900,68.2689,,,54,118
2022-06-01,2022,6,June     ,2022-06,2,f,f,t,0,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1901278,1160740,622284,61.0505,,,116,125
2022-06-01,2022,6,June     ,2022-06,2,f,f,t,0,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,849540,486190,307811,57.2298,,,50,121
2022-06-01,2022,6,June     ,2022-06,2,f,f,t,0,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,784110,453743,277060,57.8673,,,50,123
2022-07-01,2022,7,July     ,2022-07,3,f,f,t,0,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,711784,456121,232177,64.0814,,,30,124
2022-07-01,2022,7,July     ,2022-07,3,f,f,t,0,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,839669,526510,280873,62.7045,,,64,122
2022-07-01,2022,7,July     ,2022-07,3,f,f,t,0,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,1008031,630329,323287,62.5307,,,78,125
2022-07-01,2022,7,July     ,2022-07,3,f,f,t,0,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,747765,503000,213990,67.2671,,,55,118
